0xA440	一	U+4E00
0xA441	乙	U+4E59
0xA442	丁	U+4E01
0xA443	七	U+4E03
0xA444	乃	U+4E43
0xA445	九	U+4E5D
0xA446	了	U+4E86
0xA447	二	U+4E8C
0xA448	人	U+4EBA
0xA449	儿	U+513F
0xA44A	入	U+5165
0xA44B	八	U+516B
0xA44C	几	U+51E0
0xA44D	刀	U+5200
0xA44E	刁	U+5201
0xA44F	力	U+529B
0xA450	匕	U+5315
0xA451	十	U+5341
0xA452	卜	U+535C
0xA453	又	U+53C8
0xA454	三	U+4E09
0xA455	下	U+4E0B
0xA456	丈	U+4E08
0xA457	上	U+4E0A
0xA458	丫	U+4E2B
0xA459	丸	U+4E38
0xA45A	凡	U+51E1
0xA45B	久	U+4E45
0xA45C	么	U+4E48
0xA45D	也	U+4E5F
0xA45E	乞	U+4E5E
0xA45F	于	U+4E8E
0xA460	亡	U+4EA1
0xA461	兀	U+5140
0xA462	刃	U+5203
0xA463	勺	U+52FA
0xA464	千	U+5343
0xA465	叉	U+53C9
0xA466	口	U+53E3
0xA467	土	U+571F
0xA468	士	U+58EB
0xA469	夕	U+5915
0xA46A	大	U+5927
0xA46B	女	U+5973
0xA46C	子	U+5B50
0xA46D	孑	U+5B51
0xA46E	孓	U+5B53
0xA46F	寸	U+5BF8
0xA470	小	U+5C0F
0xA471	尢	U+5C22
0xA472	尸	U+5C38
0xA473	山	U+5C71
0xA474	川	U+5DDD
0xA475	工	U+5DE5
0xA476	己	U+5DF1
0xA477	已	U+5DF2
0xA478	巳	U+5DF3
0xA479	巾	U+5DFE
0xA47A	干	U+5E72
0xA47B	廾	U+5EFE
0xA47C	弋	U+5F0B
0xA47D	弓	U+5F13
0xA47E	才	U+624D
0xA4A1	丑	U+4E11
0xA4A2	丐	U+4E10
0xA4A3	不	U+4E0D
0xA4A4	中	U+4E2D
0xA4A5	丰	U+4E30
0xA4A6	丹	U+4E39
0xA4A7	之	U+4E4B
0xA4A8	尹	U+5C39
0xA4A9	予	U+4E88
0xA4AA	云	U+4E91
0xA4AB	井	U+4E95
0xA4AC	互	U+4E92
0xA4AD	五	U+4E94
0xA4AE	亢	U+4EA2
0xA4AF	仁	U+4EC1
0xA4B0	什	U+4EC0
0xA4B1	仃	U+4EC3
0xA4B2	仆	U+4EC6
0xA4B3	仇	U+4EC7
0xA4B4	仍	U+4ECD
0xA4B5	今	U+4ECA
0xA4B6	介	U+4ECB
0xA4B7	仄	U+4EC4
0xA4B8	元	U+5143
0xA4B9	允	U+5141
0xA4BA	內	U+5167
0xA4BB	六	U+516D
0xA4BC	兮	U+516E
0xA4BD	公	U+516C
0xA4BE	冗	U+5197
0xA4BF	凶	U+51F6
0xA4C0	分	U+5206
0xA4C1	切	U+5207
0xA4C2	刈	U+5208
0xA4C3	勻	U+52FB
0xA4C4	勾	U+52FE
0xA4C5	勿	U+52FF
0xA4C6	化	U+5316
0xA4C7	匹	U+5339
0xA4C8	午	U+5348
0xA4C9	升	U+5347
0xA4CA	卅	U+5345
0xA4CB	卞	U+535E
0xA4CC	厄	U+5384
0xA4CD	友	U+53CB
0xA4CE	及	U+53CA
0xA4CF	反	U+53CD
0xA4D0	壬	U+58EC
0xA4D1	天	U+5929
0xA4D2	夫	U+592B
0xA4D3	太	U+592A
0xA4D4	夭	U+592D
0xA4D5	孔	U+5B54
0xA4D6	少	U+5C11
0xA4D7	尤	U+5C24
0xA4D8	尺	U+5C3A
0xA4D9	屯	U+5C6F
0xA4DA	巴	U+5DF4
0xA4DB	幻	U+5E7B
0xA4DC	廿	U+5EFF
0xA4DD	弔	U+5F14
0xA4DE	引	U+5F15
0xA4DF	心	U+5FC3
0xA4E0	戈	U+6208
0xA4E1	戶	U+6236
0xA4E2	手	U+624B
0xA4E3	扎	U+624E
0xA4E4	支	U+652F
0xA4E5	文	U+6587
0xA4E6	斗	U+6597
0xA4E7	斤	U+65A4
0xA4E8	方	U+65B9
0xA4E9	日	U+65E5
0xA4EA	曰	U+66F0
0xA4EB	月	U+6708
0xA4EC	木	U+6728
0xA4ED	欠	U+6B20
0xA4EE	止	U+6B62
0xA4EF	歹	U+6B79
0xA4F0	毋	U+6BCB
0xA4F1	比	U+6BD4
0xA4F2	毛	U+6BDB
0xA4F3	氏	U+6C0F
0xA4F4	水	U+6C34
0xA4F5	火	U+706B
0xA4F6	爪	U+722A
0xA4F7	父	U+7236
0xA4F8	爻	U+723B
0xA4F9	片	U+7247
0xA4FA	牙	U+7259
0xA4FB	牛	U+725B
0xA4FC	犬	U+72AC
0xA4FD	王	U+738B
0xA4FE	丙	U+4E19
0xA540	世	U+4E16
0xA541	丕	U+4E15
0xA542	且	U+4E14
0xA543	丘	U+4E18
0xA544	主	U+4E3B
0xA545	乍	U+4E4D
0xA546	乏	U+4E4F
0xA547	乎	U+4E4E
0xA548	以	U+4EE5
0xA549	付	U+4ED8
0xA54A	仔	U+4ED4
0xA54B	仕	U+4ED5
0xA54C	他	U+4ED6
0xA54D	仗	U+4ED7
0xA54E	代	U+4EE3
0xA54F	令	U+4EE4
0xA550	仙	U+4ED9
0xA551	仞	U+4EDE
0xA552	充	U+5145
0xA553	兄	U+5144
0xA554	冉	U+5189
0xA555	冊	U+518A
0xA556	冬	U+51AC
0xA557	凹	U+51F9
0xA558	出	U+51FA
0xA559	凸	U+51F8
0xA55A	刊	U+520A
0xA55B	加	U+52A0
0xA55C	功	U+529F
0xA55D	包	U+5305
0xA55E	匆	U+5306
0xA55F	北	U+5317
0xA560	匝	U+531D
0xA561	仟	U+4EDF
0xA562	半	U+534A
0xA563	卉	U+5349
0xA564	卡	U+5361
0xA565	占	U+5360
0xA566	卯	U+536F
0xA567	卮	U+536E
0xA568	去	U+53BB
0xA569	可	U+53EF
0xA56A	古	U+53E4
0xA56B	右	U+53F3
0xA56C	召	U+53EC
0xA56D	叮	U+53EE
0xA56E	叩	U+53E9
0xA56F	叨	U+53E8
0xA570	叼	U+53FC
0xA571	司	U+53F8
0xA572	叵	U+53F5
0xA573	叫	U+53EB
0xA574	另	U+53E6
0xA575	只	U+53EA
0xA576	史	U+53F2
0xA577	叱	U+53F1
0xA578	台	U+53F0
0xA579	句	U+53E5
0xA57A	叭	U+53ED
0xA57B	叻	U+53FB
0xA57C	四	U+56DB
0xA57D	囚	U+56DA
0xA57E	外	U+5916
0xA5A1	央	U+592E
0xA5A2	失	U+5931
0xA5A3	奴	U+5974
0xA5A4	奶	U+5976
0xA5A5	孕	U+5B55
0xA5A6	它	U+5B83
0xA5A7	尼	U+5C3C
0xA5A8	巨	U+5DE8
0xA5A9	巧	U+5DE7
0xA5AA	左	U+5DE6
0xA5AB	市	U+5E02
0xA5AC	布	U+5E03
0xA5AD	平	U+5E73
0xA5AE	幼	U+5E7C
0xA5AF	弁	U+5F01
0xA5B0	弘	U+5F18
0xA5B1	弗	U+5F17
0xA5B2	必	U+5FC5
0xA5B3	戊	U+620A
0xA5B4	打	U+6253
0xA5B5	扔	U+6254
0xA5B6	扒	U+6252
0xA5B7	扑	U+6251
0xA5B8	斥	U+65A5
0xA5B9	旦	U+65E6
0xA5BA	朮	U+672E
0xA5BB	本	U+672C
0xA5BC	未	U+672A
0xA5BD	末	U+672B
0xA5BE	札	U+672D
0xA5BF	正	U+6B63
0xA5C0	母	U+6BCD
0xA5C1	民	U+6C11
0xA5C2	氐	U+6C10
0xA5C3	永	U+6C38
0xA5C4	汁	U+6C41
0xA5C5	汀	U+6C40
0xA5C6	氾	U+6C3E
0xA5C7	犯	U+72AF
0xA5C8	玄	U+7384
0xA5C9	玉	U+7389
0xA5CA	瓜	U+74DC
0xA5CB	瓦	U+74E6
0xA5CC	甘	U+7518
0xA5CD	生	U+751F
0xA5CE	用	U+7528
0xA5CF	甩	U+7529
0xA5D0	田	U+7530
0xA5D1	由	U+7531
0xA5D2	甲	U+7532
0xA5D3	申	U+7533
0xA5D4	疋	U+758B
0xA5D5	白	U+767D
0xA5D6	皮	U+76AE
0xA5D7	皿	U+76BF
0xA5D8	目	U+76EE
0xA5D9	矛	U+77DB
0xA5DA	矢	U+77E2
0xA5DB	石	U+77F3
0xA5DC	示	U+793A
0xA5DD	禾	U+79BE
0xA5DE	穴	U+7A74
0xA5DF	立	U+7ACB
0xA5E0	丞	U+4E1E
0xA5E1	丟	U+4E1F
0xA5E2	乒	U+4E52
0xA5E3	乓	U+4E53
0xA5E4	乩	U+4E69
0xA5E5	亙	U+4E99
0xA5E6	交	U+4EA4
0xA5E7	亦	U+4EA6
0xA5E8	亥	U+4EA5
