0xB0A1	啊	U+554A
0xB0A2	阿	U+963F
0xB0A3	埃	U+57C3
0xB0A4	挨	U+6328
0xB0A5	哎	U+54CE
0xB0A6	唉	U+5509
0xB0A7	哀	U+54C0
0xB0A8	皑	U+7691
0xB0A9	癌	U+764C
0xB0AA	蔼	U+853C
0xB0AB	矮	U+77EE
0xB0AC	艾	U+827E
0xB0AD	碍	U+788D
0xB0AE	爱	U+7231
0xB0AF	隘	U+9698
0xB0B0	鞍	U+978D
0xB0B1	氨	U+6C28
0xB0B2	安	U+5B89
0xB0B3	俺	U+4FFA
0xB0B4	按	U+6309
0xB0B5	暗	U+6697
0xB0B6	岸	U+5CB8
0xB0B7	胺	U+80FA
0xB0B8	案	U+6848
0xB0B9	肮	U+80AE
0xB0BA	昂	U+6602
0xB0BB	盎	U+76CE
0xB0BC	凹	U+51F9
0xB0BD	敖	U+6556
0xB0BE	熬	U+71AC
0xB0BF	翱	U+7FF1
0xB0C0	袄	U+8884
0xB0C1	傲	U+50B2
0xB0C2	奥	U+5965
0xB0C3	懊	U+61CA
0xB0C4	澳	U+6FB3
0xB0C5	芭	U+82AD
0xB0C6	捌	U+634C
0xB0C7	扒	U+6252
0xB0C8	叭	U+53ED
0xB0C9	吧	U+5427
0xB0CA	笆	U+7B06
0xB0CB	八	U+516B
0xB0CC	疤	U+75A4
0xB0CD	巴	U+5DF4
0xB0CE	拔	U+62D4
0xB0CF	跋	U+8DCB
0xB0D0	靶	U+9776
0xB0D1	把	U+628A
0xB0D2	耙	U+8019
0xB0D3	坝	U+575D
0xB0D4	霸	U+9738
0xB0D5	罢	U+7F62
0xB0D6	爸	U+7238
0xB0D7	白	U+767D
0xB0D8	柏	U+67CF
0xB0D9	百	U+767E
0xB0DA	摆	U+6446
0xB0DB	佰	U+4F70
0xB0DC	败	U+8D25
0xB0DD	拜	U+62DC
0xB0DE	稗	U+7A17
0xB0DF	斑	U+6591
0xB0E0	班	U+73ED
0xB0E1	搬	U+642C
0xB0E2	扳	U+6273
0xB0E3	般	U+822C
0xB0E4	颁	U+9881
0xB0E5	板	U+677F
0xB0E6	版	U+7248
0xB0E7	扮	U+626E
0xB0E8	拌	U+62CC
0xB0E9	伴	U+4F34
0xB0EA	瓣	U+74E3
0xB0EB	半	U+534A
0xB0EC	办	U+529E
0xB0ED	绊	U+7ECA
0xB0EE	邦	U+90A6
0xB0EF	帮	U+5E2E
0xB0F0	梆	U+6886
0xB0F1	榜	U+699C
0xB0F2	膀	U+8180
0xB0F3	绑	U+7ED1
0xB0F4	棒	U+68D2
0xB0F5	磅	U+78C5
0xB0F6	蚌	U+868C
0xB0F7	镑	U+9551
0xB0F8	傍	U+508D
0xB0F9	谤	U+8C24
0xB0FA	苞	U+82DE
0xB0FB	胞	U+80DE
0xB0FC	包	U+5305
0xB0FD	褒	U+8912
0xB0FE	剥	U+5265
0xB1A1	薄	U+8584
0xB1A2	雹	U+96F9
0xB1A3	保	U+4FDD
0xB1A4	堡	U+5821
0xB1A5	饱	U+9971
0xB1A6	宝	U+5B9D
0xB1A7	抱	U+62B1
0xB1A8	报	U+62A5
0xB1A9	暴	U+66B4
0xB1AA	豹	U+8C79
0xB1AB	鲍	U+9C8D
0xB1AC	爆	U+7206
0xB1AD	杯	U+676F
0xB1AE	碑	U+7891
0xB1AF	悲	U+60B2
0xB1B0	卑	U+5351
0xB1B1	北	U+5317
0xB1B2	辈	U+8F88
0xB1B3	背	U+80CC
0xB1B4	贝	U+8D1D
0xB1B5	钡	U+94A1
0xB1B6	倍	U+500D
0xB1B7	狈	U+72C8
0xB1B8	备	U+5907
0xB1B9	惫	U+60EB
0xB1BA	焙	U+7119
0xB1BB	被	U+88AB
0xB1BC	奔	U+5954
0xB1BD	苯	U+82EF
0xB1BE	本	U+672C
0xB1BF	笨	U+7B28
0xB1C0	崩	U+5D29
0xB1C1	绷	U+7EF7
0xB1C2	甭	U+752D
0xB1C3	泵	U+6CF5
0xB1C4	蹦	U+8E66
0xB1C5	迸	U+8FF8
0xB1C6	逼	U+903C
0xB1C7	鼻	U+9F3B
0xB1C8	比	U+6BD4
0xB1C9	鄙	U+9119
0xB1CA	笔	U+7B14
0xB1CB	彼	U+5F7C
0xB1CC	碧	U+78A7
0xB1CD	蓖	U+84D6
0xB1CE	蔽	U+853D
0xB1CF	毕	U+6BD5
0xB1D0	毙	U+6BD9
0xB1D1	毖	U+6BD6
0xB1D2	币	U+5E01
0xB1D3	庇	U+5E87
0xB1D4	痹	U+75F9
0xB1D5	闭	U+95ED
0xB1D6	敝	U+655D
0xB1D7	弊	U+5F0A
0xB1D8	必	U+5FC5
0xB1D9	辟	U+8F9F
0xB1DA	壁	U+58C1
0xB1DB	臂	U+81C2
0xB1DC	避	U+907F
0xB1DD	陛	U+965B
0xB1DE	鞭	U+97AD
0xB1DF	边	U+8FB9
0xB1E0	编	U+7F16
0xB1E1	贬	U+8D2C
0xB1E2	扁	U+6241
0xB1E3	便	U+4FBF
0xB1E4	变	U+53D8
0xB1E5	卞	U+535E
0xB1E6	辨	U+8FA8
0xB1E7	辩	U+8FA9
0xB1E8	辫	U+8FAB
0xB1E9	遍	U+904D
0xB1EA	标	U+6807
0xB1EB	彪	U+5F6A
0xB1EC	膘	U+8198
0xB1ED	表	U+8868
0xB1EE	鳖	U+9CD6
0xB1EF	憋	U+618B
0xB1F0	别	U+522B
0xB1F1	瘪	U+762A
0xB1F2	彬	U+5F6C
0xB1F3	斌	U+658C
0xB1F4	濒	U+6FD2
0xB1F5	滨	U+6EE8
0xB1F6	宾	U+5BBE
0xB1F7	摈	U+6448
0xB1F8	兵	U+5175
0xB1F9	冰	U+51B0
0xB1FA	柄	U+67C4
0xB1FB	丙	U+4E19
0xB1FC	秉	U+79C9
0xB1FD	饼	U+997C
0xB1FE	炳	U+70B3
0xB2A1	病	U+75C5
0xB2A2	并	U+5E76
0xB2A3	玻	U+73BB
0xB2A4	菠	U+83E0
0xB2A5	播	U+64AD
0xB2A6	拨	U+62E8
0xB2A7	钵	U+94B5
0xB2A8	波	U+6CE2
0xB2A9	博	U+535A
0xB2AA	勃	U+52C3
0xB2AB	搏	U+640F
0xB2AC	铂	U+94C2
0xB2AD	箔	U+7B94
0xB2AE	伯	U+4F2F
0xB2AF	帛	U+5E1B
0xB2B0	舶	U+8236
0xB2B1	脖	U+8116
0xB2B2	膊	U+818A
0xB2B3	渤	U+6E24
0xB2B4	泊	U+6CCA
0xB2B5	驳	U+9A73
0xB2B6	捕	U+6355
0xB2B7	卜	U+535C
0xB2B8	哺	U+54FA
0xB2B9	补	U+8865
0xB2BA	埠	U+57E0
0xB2BB	不	U+4E0D
0xB2BC	布	U+5E03
0xB2BD	步	U+6B65
0xB2BE	簿	U+7C3F
0xB2BF	部	U+90E8
0xB2C0	怖	U+6016
0xB2C1	擦	U+64E6
0xB2C2	猜	U+731C
0xB2C3	裁	U+88C1
0xB2C4	材	U+6750
0xB2C5	才	U+624D
0xB2C6	财	U+8D22
0xB2C7	睬	U+776C
0xB2C8	踩	U+8E29
0xB2C9	采	U+91C7
0xB2CA	彩	U+5F69
0xB2CB	菜	U+83DC
0xB2CC	蔡	U+8521
0xB2CD	餐	U+9910
0xB2CE	参	U+53C2
0xB2CF	蚕	U+8695
0xB2D0	残	U+6B8B
0xB2D1	惭	U+60ED
0xB2D2	惨	U+60E8
0xB2D3	灿	U+707F
0xB2D4	苍	U+82CD
0xB2D5	舱	U+8231
0xB2D6	仓	U+4ED3
0xB2D7	沧	U+6CA7
0xB2D8	藏	U+85CF
0xB2D9	操	U+64CD
0xB2DA	糙	U+7CD9
0xB2DB	槽	U+69FD
0xB2DC	曹	U+66F9
0xB2DD	草	U+8349
0xB2DE	厕	U+5395
0xB2DF	策	U+7B56
0xB2E0	侧	U+4FA7
0xB2E1	册	U+518C
